cond1,cond2,ManipCheck,fair,support,inference1,inference2,leakiness,fps1,fps2,fps3,fps4,fps5,fps6,fps7,fps8,fps9,fps10,fps11,fps12,fps13,fps14,cc1,cc2,age,gender,political,lbs,HeightFeet,HeightInches,Height,total_t,z_beg,z_end
2,4,-2,-1,-2,1,-1,-1,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,1,25,2,,115,5,4,64,3.6833334,5/1/2010 at 11:30 PM,5/1/2010 at 11:33 PM
2,3,-3,2,1,2,1,-3,3,3,5,4,5,5,6,3,3,5,4,5,3,3,3,1,19,2,5,130,5,4,64,2.8,5/2/2010 at 1:09 AM,5/2/2010 at 1:12 AM
2,3,-1,1,1,1,2,-1,3,3,4,5,5,4,5,4,2,5,3,5,3,3,3,1,20,1,5,175,6,0,72,5,5/2/2010 at 5:00 AM,5/2/2010 at 5:05 AM
2,4,-2,-3,-2,3,3,-3,3,4,5,4,5,2,5,5,2,5,6,4,2,3,3,1,22,1,3,400,5,9,69,2.75,5/2/2010 at 7:24 AM,5/2/2010 at 7:27 AM
2,2,-3,-3,-3,3,3,-3,6,3,4,4,4,4,4,3,3,4,3,4,3,3,3,1,33,2,4,140,5,9,69,3.2833333,5/2/2010 at 8:16 AM,5/2/2010 at 8:19 AM
2,2,-3,-1,0,2,1,-3,1,1,,6,6,6,6,1,1,6,1,6,1,1,3,1,21,1,4,190,5,8,68,2.5166667,5/2/2010 at 9:02 AM,5/2/2010 at 9:04 AM
1,1,-3,-2,-2,-2,-3,3,1,2,2,2,3,3,2,1,2,4,4,1,6,6,2,1,19,1,,100,5,6,66,1.6666666,5/2/2010 at 9:10 AM,5/2/2010 at 9:11 AM
2,2,-3,-3,-2,0,1,-1,5,5,3,3,3,3,3,5,5,4,4,4,3,4,3,1,42,2,5,187,5,8,68,3.8166666,5/2/2010 at 9:33 AM,5/2/2010 at 9:37 AM
2,2,-3,0,0,3,0,-3,3,3,3,3,3,4,3,4,3,6,4,6,4,3,3,1,54,1,4,147,5,10,70,4.766667,5/2/2010 at 9:57 AM,5/2/2010 at 10:01 AM
2,3,-2,2,2,0,2,-2,3,3,4,4,5,5,4,4,3,6,4,6,3,4,3,1,51,2,2,112,5,4,64,4.65,5/2/2010 at 10:32 AM,5/2/2010 at 10:37 AM
2,4,-3,-3,-3,2,0,-3,3,3,5,4,6,6,5,2,2,5,1,5,2,2,3,1,26,2,,141,5,3,63,3.25,5/2/2010 at 11:38 AM,5/2/2010 at 11:42 AM
2,2,3,3,3,1,1,0,2,3,6,4,5,5,5,3,3,5,6,5,2,2,3,1,26,1,4,175,6,0,72,5.133333,5/2/2010 at 1:52 PM,5/2/2010 at 1:57 PM
1,1,-2,-1,-1,-1,1,-2,3,3,4,5,5,5,6,3,3,5,3,5,2,2,3,2,52,1,5,222,5,9,69,5.6666665,5/2/2010 at 2:27 PM,5/2/2010 at 2:32 PM
2,4,-2,,-2,-1,1,-2,4,3,4,4,4,4,4,3,3,4,4,5,4,3,3,1,57,2,5,160,5,5,65,3.6166666,5/2/2010 at 3:58 PM,5/2/2010 at 4:02 PM
2,4,-3,-2,0,0,0,0,3,2,4,5,5,5,5,2,2,6,2,6,2,2,3,1,49,2,3,165,5,6,66,3.45,5/2/2010 at 4:17 PM,5/2/2010 at 4:20 PM
2,3,-3,1,-1,2,1,-3,,1,3,4,6,3,5,1,2,6,4,6,3,1,3,1,40,2,3,185,5,10,70,3.15,5/2/2010 at 4:54 PM,5/2/2010 at 4:58 PM
2,3,-3,-2,-2,3,3,-3,3,3,5,4,6,5,5,4,2,6,2,5,2,2,3,1,26,2,5,140,5,10,70,5.016667,5/3/2010 at 1:45 AM,5/3/2010 at 1:50 AM
2,3,-1,2,1,0,1,-2,3,2,6,5,6,5,5,2,1,6,1,6,4,4,3,2,51,1,3,167,5,10,70,5.55,5/3/2010 at 3:09 AM,5/3/2010 at 3:14 AM
2,4,2,2,1,-2,3,0,2,3,3,3,1,1,5,5,4,6,2,5,2,2,3,1,21,1,2,121,5,5,65,8.583333,5/3/2010 at 5:15 AM,5/3/2010 at 5:24 AM
2,2,-1,1,1,-2,,-1,5,3,4,4,3,4,5,4,3,5,4,5,3,4,3,1,38,2,6,130,5,8,68,4.95,5/3/2010 at 7:55 AM,5/3/2010 at 8:00 AM
2,4,-1,1,1,0,1,-2,3,3,4,5,4,4,5,3,3,5,3,5,3,3,3,1,19,2,1,125,5,8,68,4.016667,5/3/2010 at 8:21 AM,5/3/2010 at 8:25 AM
2,3,-3,-1,0,3,3,-3,4,2,4,4,4,4,4,3,3,5,5,5,2,2,3,1,37,2,1,145,5,2,62,3.0333333,5/3/2010 at 9:50 AM,5/3/2010 at 9:53 AM
2,4,-2,1,2,0,1,-1,2,3,5,5,6,5,5,2,3,5,2,5,2,2,3,1,21,2,2,120,5,7,67,3.1666667,5/3/2010 at 10:42 AM,5/3/2010 at 10:46 AM
1,1,3,1,2,-2,3,0,3,3,4,4,4,4,4,3,3,5,3,4,4,3,3,2,49,2,5,155,5,6,66,3.9833333,5/3/2010 at 11:01 AM,5/3/2010 at 11:05 AM
2,4,-2,-1,1,1,0,0,3,3,4,3,4,3,3,4,3,5,4,4,3,3,5,2,19,1,4,165,5,11,71,2.9833333,5/3/2010 at 12:18 PM,5/3/2010 at 12:21 PM
2,4,-2,2,2,1,1,-2,4,3,4,5,4,4,5,4,3,5,2,5,3,2,3,1,54,1,6,165,5,11,71,4.9666667,5/3/2010 at 1:10 PM,5/3/2010 at 1:15 PM
2,2,-2,-3,-3,3,1,-3,3,3,3,4,4,4,4,3,3,4,3,4,3,3,3,1,35,1,3,170,6,0,72,2.7166667,5/3/2010 at 1:32 PM,5/3/2010 at 1:35 PM
2,4,-3,-2,2,3,2,-3,3,3,4,5,6,5,5,4,2,4,2,6,1,1,3,2,50,1,4,165,5,9,69,3.85,5/3/2010 at 5:27 PM,5/3/2010 at 5:30 PM
2,2,0,2,3,1,0,0,4,3,4,4,4,5,6,5,4,4,4,3,3,4,2,1,52,1,3,72,5,9,69,3.3666666,5/3/2010 at 8:02 PM,5/3/2010 at 8:05 PM
1,1,3,3,2,-1,0,3,3,3,2,3,4,4,4,3,2,1,3,5,4,4,3,2,22,,2,180,5,8,68,5.6,5/3/2010 at 8:40 PM,5/3/2010 at 8:46 PM
2,4,-2,0,-1,-2,0,-2,3,3,4,4,5,5,5,4,4,5,4,5,4,3,3,1,26,2,6,175,5,4,64,3.6166666,5/3/2010 at 8:45 PM,5/3/2010 at 8:49 PM
2,2,0,-1,-1,2,2,-2,2,3,5,4,5,5,6,3,3,6,3,5,3,3,3,1,31,1,1,245,6,7,79,5.55,5/3/2010 at 8:49 PM,5/3/2010 at 8:55 PM
2,4,-2,0,-1,1,1,-3,3,2,1,1,5,5,1,3,2,6,3,6,5,2,3,1,21,2,,135,5,7,67,3.55,5/3/2010 at 10:11 PM,5/3/2010 at 10:15 PM
2,2,-3,-2,-2,3,-3,-2,4,3,2,4,4,4,4,3,2,6,4,4,4,4,3,1,26,2,1,175,5,7,67,1.65,5/4/2010 at 5:11 AM,5/4/2010 at 5:12 AM
2,4,-3,-2,-3,2,0,-2,4,4,5,3,4,4,4,4,4,4,2,4,3,2,3,1,31,2,,250,5,11,71,3.45,5/4/2010 at 7:32 AM,5/4/2010 at 7:36 AM
2,3,-3,3,3,2,0,-3,1,1,6,6,6,,6,6,1,6,,6,1,1,3,1,60,2,2,110,5,1,61,5.95,5/4/2010 at 8:23 AM,5/4/2010 at 8:29 AM
2,4,-3,-2,-2,-2,3,3,2,2,3,2,6,6,5,1,2,5,2,5,2,2,3,1,54,2,4,113,5,5,65,3.3833334,5/4/2010 at 9:10 AM,5/4/2010 at 9:14 AM
2,3,-3,-1,-1,2,0,-2,3,2,4,5,5,5,6,3,2,6,2,5,1,1,3,1,26,2,3,165,5,7,67,2.1166666,5/4/2010 at 9:48 AM,5/4/2010 at 9:50 AM
2,2,-3,-3,-3,3,3,-3,4,3,4,4,5,5,4,3,2,5,4,5,1,1,3,1,36,2,1,128,5,2,62,2.8833334,5/4/2010 at 10:14 AM,5/4/2010 at 10:17 AM
2,3,-3,-3,-2,3,-3,-3,3,3,4,4,4,4,4,3,3,5,4,4,3,3,3,1,32,2,2,150,5,5,65,2.7,5/4/2010 at 10:14 AM,5/4/2010 at 10:17 AM
1,1,1,1,3,1,2,0,5,5,1,1,1,1,1,,4,6,3,2,6,6,3,2,19,1,6,153,5,9,69,3.7833333,5/4/2010 at 11:30 AM,5/4/2010 at 11:33 AM
2,2,-3,-2,-2,2,0,-2,3,3,4,4,4,4,4,3,3,4,3,4,3,3,3,1,37,2,6,220,5,4,64,3.7166667,5/4/2010 at 2:39 PM,5/4/2010 at 2:43 PM
2,2,-3,3,2,1,1,-2,3,2,4,5,4,5,4,3,2,4,4,4,3,3,3,1,24,1,5,215,6,1,73,3.1166666,5/4/2010 at 3:07 PM,5/4/2010 at 3:10 PM
2,2,1,2,3,-1,-1,1,1,1,4,6,6,6,6,1,1,6,6,6,1,1,3,1,35,1,4,235,6,4,76,3.9,5/4/2010 at 5:37 PM,5/4/2010 at 5:41 PM
1,1,-2,-1,0,3,1,2,6,2,4,4,3,3,4,3,3,4,2,4,3,2,1,2,53,2,2,160,5,3,63,7.6,5/4/2010 at 6:04 PM,5/4/2010 at 6:12 PM
2,3,1,-1,1,0,3,-3,3,3,5,5,4,4,5,4,3,5,3,5,1,1,3,1,21,1,5,250,6,2,74,3.1,5/4/2010 at 7:02 PM,5/4/2010 at 7:05 PM
2,2,-3,-2,-2,2,2,-3,2,2,4,5,4,4,6,3,2,5,3,5,1,1,3,1,58,2,2,160,5,3,63,6.9166665,5/4/2010 at 7:24 PM,5/4/2010 at 7:31 PM
2,2,-3,-2,0,2,0,-3,3,3,4,4,4,4,4,3,3,5,3,5,3,3,3,1,23,2,2,100,5,0,60,4.3333335,5/4/2010 at 9:31 PM,5/4/2010 at 9:35 PM
2,2,3,-2,0,-2,2,-3,1,1,5,6,6,6,6,1,1,6,1,6,1,1,3,1,52,2,5,140,5,4,64,5.55,5/4/2010 at 11:20 PM,5/4/2010 at 11:25 PM
2,3,3,2,3,0,0,3,1,,,,4,4,4,,1,4,,4,1,1,3,1,36,2,2,150,5,10,70,3.9833333,5/5/2010 at 2:49 AM,5/5/2010 at 2:53 AM
2,2,-3,1,-1,1,1,-2,3,4,4,4,5,4,5,3,3,4,3,5,3,4,3,1,25,2,3,123,5,4,64,3.6666667,5/5/2010 at 5:58 AM,5/5/2010 at 6:02 AM
2,4,0,3,0,-2,3,0,2,3,3,4,4,4,4,3,3,4,3,5,3,3,3,1,32,2,4,160,5,10,70,4.55,5/5/2010 at 5:59 AM,5/5/2010 at 6:04 AM
2,2,1,-1,-2,0,0,0,3,3,6,4,5,5,4,4,2,5,4,4,2,3,1,1,29,1,,200,6,0,72,6.483333,5/5/2010 at 6:07 AM,5/5/2010 at 6:14 AM
2,3,-3,-2,-2,3,0,-2,3,2,4,4,4,3,4,3,3,4,3,5,2,2,3,1,38,2,4,154,5,0,60,3.0166667,5/5/2010 at 7:14 AM,5/5/2010 at 7:17 AM
2,4,-3,-3,-3,2,-2,-3,3,4,2,5,5,3,3,5,5,5,3,4,4,4,3,1,22,2,4,150,5,5,65,2.55,5/5/2010 at 7:31 AM,5/5/2010 at 7:33 AM
2,4,-1,3,1,1,1,-2,6,4,3,3,1,2,3,5,4,5,5,4,4,3,3,1,40,2,3,138,5,5,65,2.7833333,5/5/2010 at 8:24 AM,5/5/2010 at 8:27 AM
2,4,-2,-2,-2,2,0,-3,5,5,2,2,3,2,3,5,5,5,5,4,4,5,3,1,61,2,4,250,5,6,66,4.016667,5/5/2010 at 8:29 AM,5/5/2010 at 8:33 AM
2,2,-2,0,0,0,0,0,3,3,4,4,4,4,4,3,3,4,3,4,3,3,3,1,35,2,4,252,5,5,65,4.9166665,5/5/2010 at 8:59 AM,5/5/2010 at 9:04 AM
2,3,-1,-1,-1,2,1,-1,3,3,4,4,4,4,4,3,3,4,4,4,4,4,3,1,35,2,,115,5,6,66,4.6,5/5/2010 at 10:44 AM,5/5/2010 at 10:48 AM
2,2,-3,-2,-2,3,-3,-3,4,3,4,4,4,4,4,3,3,5,3,4,3,3,3,1,31,2,6,120,5,5,65,2.4333334,5/5/2010 at 11:11 AM,5/5/2010 at 11:14 AM
2,2,-3,1,-2,3,2,-3,3,3,5,5,5,5,5,4,2,4,3,5,1,2,3,1,19,1,2,145,5,11,71,3.8833334,5/5/2010 at 11:12 AM,5/5/2010 at 11:16 AM
1,1,2,1,2,0,2,1,2,2,6,5,6,6,5,3,2,6,1,6,2,2,3,2,25,1,3,185,5,11,71,3.8,5/5/2010 at 11:16 AM,5/5/2010 at 11:20 AM
2,3,-3,0,-3,1,1,-2,4,3,2,4,4,4,4,3,3,4,2,4,3,3,3,1,49,2,3,215,5,4,64,3.55,5/5/2010 at 11:21 AM,5/5/2010 at 11:24 AM
1,1,2,-2,1,-2,2,-2,3,3,3,4,4,4,3,3,3,5,6,4,,,3,2,34,2,2,220,5,11,71,3.3666666,5/5/2010 at 11:31 AM,5/5/2010 at 11:34 AM
2,4,-2,-1,1,0,0,0,3,2,5,5,6,5,5,3,1,6,2,6,1,2,3,1,25,2,3,120,5,6,66,6.883333,5/5/2010 at 11:27 AM,5/5/2010 at 11:34 AM
2,3,-3,1,1,-1,2,-3,3,1,4,4,3,4,5,3,3,4,4,5,2,2,3,1,,2,6,110,5,5,65,2.9166667,5/5/2010 at 11:47 AM,5/5/2010 at 11:50 AM
1,1,1,3,1,0,0,0,4,5,4,3,3,3,3,3,4,5,3,2,5,6,3,2,20,1,5,140,5,6,66,3.6666667,5/5/2010 at 11:49 AM,5/5/2010 at 11:53 AM
2,3,2,-2,1,3,3,-3,6,6,1,1,1,2,2,6,4,6,5,5,5,4,3,2,56,2,2,152,5,7,67,2.6666667,5/5/2010 at 11:51 AM,5/5/2010 at 11:54 AM
1,1,3,3,3,1,2,-1,3,2,4,5,6,6,6,1,3,5,1,4,3,2,4,2,23,2,2,130,5,8,68,3.35,5/5/2010 at 12:00 PM,5/5/2010 at 12:04 PM
2,3,3,0,3,1,0,0,6,6,2,4,2,2,2,5,2,5,5,2,5,5,3,1,20,1,,175,6,4,76,4.983333,5/5/2010 at 11:59 AM,5/5/2010 at 12:04 PM
2,2,3,3,0,-3,3,0,6,6,1,6,6,1,1,6,6,6,4,3,6,6,3,1,23,1,3,125,6,0,72,3.5,5/5/2010 at 12:16 PM,5/5/2010 at 12:20 PM
2,4,3,1,2,-1,1,0,2,2,6,5,6,4,5,3,1,6,2,6,1,1,3,1,25,2,3,180,5,10,70,6.133333,5/5/2010 at 12:24 PM,5/5/2010 at 12:31 PM
2,4,-2,3,3,1,0,0,3,3,5,5,5,6,5,3,2,5,4,5,3,3,3,1,28,2,6,118,5,3,63,3.6333334,5/5/2010 at 12:37 PM,5/5/2010 at 12:40 PM